date,no2_mean,no2_mean_weighted,no2_median,no2_min,no2_max,n_pixels,status,source_file
2005-04-01,4900305011544337.0,4900739866724179.0,2986646840541184.0,9774458470400.0,2.174124256395264e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0401_v003-2019m1120t193140.he5
2005-04-02,3914420621847210.5,3914897858303652.0,3528870758187008.0,1568612787683328.0,7886568199028736.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0402_v003-2019m1120t192244.he5
2005-04-03,4217582920715469.0,4216934310285127.0,3161615084027904.0,-398987664293888.0,1.1426606945927168e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0403_v003-2019m1120t192259.he5
2005-04-04,4677324634026690.0,4676281361182885.0,3448212077674496.0,171264740163584.0,1.3816331044388864e+16,29,ok,OMI-Aura_L3-OMNO2d_2005m0404_v003-2019m1120t193223.he5
2005-04-05,4983993265168930.0,4981549944538084.0,3670018013265920.0,346276436639744.0,1.4915552761872384e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0405_v003-2019m1120t193305.he5
2005-04-06,5333145318029175.0,5334139955589280.0,4510835439304704.0,128909626572800.0,1.498360544493568e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0406_v003-2019m1120t192147.he5
2005-04-07,4768169870915111.0,4771082531534323.0,4192929073594368.0,2465718981361664.0,1.0418007964647424e+16,26,ok,OMI-Aura_L3-OMNO2d_2005m0407_v003-2019m1120t193142.he5
2005-04-08,,,,,,0,ok,OMI-Aura_L3-OMNO2d_2005m0408_v003-2019m1120t192730.he5
2005-04-09,2760124355296187.5,2757737808937769.5,3306098723389440.0,928416303939584.0,5455612951396352.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0409_v003-2019m1120t192721.he5
2005-04-10,2662697998308693.5,2660122015043271.5,2342574752792576.0,238153822633984.0,7139687344898048.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0410_v003-2019m1120t193144.he5
2005-04-11,3991087839375087.0,3987909158310539.0,3672136237449216.0,799805387309056.0,8740134967050240.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0411_v003-2019m1120t192739.he5
2005-04-12,6134223985023386.0,6129686419619874.0,4281497607471104.0,1530335770705920.0,1.867855292478259e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0412_v003-2019m1120t193228.he5
2005-04-13,5200111411361655.0,5198527322606295.0,3087883917328384.0,545475878977536.0,1.832581155572941e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0413_v003-2019m1120t193235.he5
2005-04-14,4383300799255893.5,4384119439030719.0,4258611203145728.0,457354927669248.0,8404261545181184.0,24,ok,OMI-Aura_L3-OMNO2d_2005m0414_v003-2019m1120t193301.he5
2005-04-15,884549983262877.5,891698591201624.9,650225836359680.0,-2555122483724288.0,6221559165353984.0,13,ok,OMI-Aura_L3-OMNO2d_2005m0415_v003-2019m1120t193315.he5
2005-04-16,4663920815161909.0,4665251793464849.0,4165389206421504.0,1401405147447296.0,8535986044665856.0,29,ok,OMI-Aura_L3-OMNO2d_2005m0416_v003-2019m1120t194804.he5
2005-04-17,2569392887449247.0,2570347977766316.0,2085199106015232.0,-1435422093737984.0,7843157890826240.0,29,ok,OMI-Aura_L3-OMNO2d_2005m0417_v003-2019m1120t193304.he5
2005-04-18,3414954451402752.0,3414974583697613.5,3356812220825600.0,2658900704755712.0,4290598508953600.0,16,ok,OMI-Aura_L3-OMNO2d_2005m0418_v003-2019m1120t193658.he5
2005-04-19,3154810825896391.0,3151705701879215.0,3005756626436096.0,-4801514128277504.0,1.7340407545331712e+16,27,ok,OMI-Aura_L3-OMNO2d_2005m0419_v003-2019m1120t193301.he5
2005-04-20,3296540076819524.5,3295098484010531.0,3207131805253632.0,2112563282182144.0,4513563414626304.0,15,ok,OMI-Aura_L3-OMNO2d_2005m0420_v003-2019m1120t193252.he5
2005-04-21,3780006365678797.0,3782135094177580.5,3290037693186048.0,-2595623756890112.0,1.268935739572224e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0421_v003-2019m1120t195808.he5
2005-04-22,3833550386233344.0,3836688037200688.5,3922418477301760.0,1599920146481152.0,6496483780067328.0,24,ok,OMI-Aura_L3-OMNO2d_2005m0422_v003-2019m1120t195826.he5
2005-04-23,928480971718656.0,928582139712513.1,1090573800833024.0,92588715540480.0,1465401770770432.0,13,ok,OMI-Aura_L3-OMNO2d_2005m0423_v003-2019m1120t194820.he5
2005-04-24,2383064737688234.5,2383424040326946.0,1725017645645824.0,-249453999030272.0,6417020442640384.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0424_v003-2019m1120t193229.he5
2005-04-25,2824491531396710.5,2823186178307518.5,2944738965585920.0,1384090792099840.0,4346311750975488.0,30,ok,OMI-Aura_L3-OMNO2d_2005m0425_v003-2019m1120t195847.he5
2005-04-26,,,,,,0,ok,OMI-Aura_L3-OMNO2d_2005m0426_v003-2019m1120t194645.he5
2005-04-27,4968964827562549.0,4966951829778934.0,3073138220859392.0,1769531760443392.0,1.2172148844003328e+16,29,ok,OMI-Aura_L3-OMNO2d_2005m0427_v003-2019m1120t193129.he5
2005-04-28,4755209118888755.0,4753012991217291.0,2457970323488768.0,-312697409241088.0,1.825713073369907e+16,30,ok,OMI-Aura_L3-OMNO2d_2005m0428_v003-2019m1120t194709.he5
